iter	Passed	Remaining
0	2	293
1	6	325
2	9	303
3	11	272
4	13	261
5	15	247
6	17	238
7	20	230
8	22	226
9	24	223
10	27	219
11	29	216
12	31	212
13	34	208
14	36	207
15	38	202
16	40	197
17	42	193
18	44	188
19	45	183
20	47	179
21	49	175
22	50	170
23	52	165
24	53	161
25	55	157
26	56	152
27	57	148
28	59	144
29	60	140
30	61	137
31	62	133
32	63	129
33	65	126
34	66	123
35	67	119
36	68	117
37	69	114
38	71	111
39	72	109
40	74	106
41	74	102
42	75	100
43	77	98
44	78	96
45	79	93
46	81	91
47	82	89
48	83	87
49	84	84
50	86	82
51	87	80
52	88	78
53	89	76
54	90	73
55	91	71
56	92	70
57	94	68
58	95	66
59	96	64
60	98	62
61	99	60
62	100	58
63	101	57
64	103	55
65	104	53
66	105	52
67	107	50
68	108	48
69	109	46
70	110	45
71	112	43
72	113	41
73	114	40
74	115	38
75	117	37
76	118	35
77	119	33
78	120	32
79	121	30
80	123	28
81	124	27
82	125	25
83	127	24
84	128	22
85	129	21
86	130	19
87	132	18
88	133	16
89	134	14
90	135	13
91	136	11
92	138	10
93	139	8
94	140	7
95	141	5
96	143	4
97	144	2
98	145	1
99	146	0
